id;formacao_ouvinte;origem_ouvinte;instituicao_ouvinte;laboratorio_ouvinte;data;mes;ano;palestra;palestrante;titulo;responsavel;nacionalidade;origem_palestrante;instituicao_palestrante;ppge;laboratorio_palestrante;formacao_palestrante;tema #1;horario;semana;local
2;Doutorado;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
215;Mestrado;PPGE;UFRJ;Peixes;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
186;Mestrado;PPGE;UFRJ;Inseto-Planta;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
90;Mestrado;PPGE;UFRJ;LEI;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
52;PosDoc;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
152;PosDoc;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
209;Doutorado;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
137;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
135;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
190;Graduacao;IB;UFRJ;NA;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
