"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
8196,33,"BRA","Brazil",21,"Rio Grande do Sul",4206,"Santo Antônio da Patrulha",8196,"Catanduva Grande","Distrito","District",NA,NA
8197,33,"BRA","Brazil",21,"Rio Grande do Sul",4206,"Santo Antônio da Patrulha",8197,"Chicoloma","Distrito","District",NA,NA
8198,33,"BRA","Brazil",21,"Rio Grande do Sul",4206,"Santo Antônio da Patrulha",8198,"Miraguaia","Distrito","District",NA,NA
8199,33,"BRA","Brazil",21,"Rio Grande do Sul",4206,"Santo Antônio da Patrulha",8199,"Pinheirinhos","Distrito","District",NA,NA
8200,33,"BRA","Brazil",21,"Rio Grande do Sul",4206,"Santo Antônio da Patrulha",8200,"Santo Antônio da Patrulha","Distrito","District",NA,NA
8201,33,"BRA","Brazil",21,"Rio Grande do Sul",4207,"Santo Antônio das Missões",8201,"São José","Distrito","District",NA,NA
8202,33,"BRA","Brazil",21,"Rio Grande do Sul",4207,"Santo Antônio das Missões",8202,"Santo Antônio das Missões","Distrito","District",NA,NA
8203,33,"BRA","Brazil",21,"Rio Grande do Sul",4208,"Santo Antônio do Palma",8203,"São José","Distrito","District",NA,NA
8204,33,"BRA","Brazil",21,"Rio Grande do Sul",4208,"Santo Antônio do Palma",8204,"Santa Terezinha","Distrito","District",NA,NA
8205,33,"BRA","Brazil",21,"Rio Grande do Sul",4208,"Santo Antônio do Palma",8205,"Santo Antônio do Palma","Distrito","District",NA,NA
8206,33,"BRA","Brazil",21,"Rio Grande do Sul",4209,"Santo Antônio do Planalto",8206,"Rincao doce","Distrito","District",NA,NA
8207,33,"BRA","Brazil",21,"Rio Grande do Sul",4209,"Santo Antônio do Planalto",8207,"Santo Antônio do Planalto","Distrito","District",NA,NA
8208,33,"BRA","Brazil",21,"Rio Grande do Sul",4210,"Santo Augusto",8208,"Nossa Senhora de Fatima","Distrito","District",NA,NA
8209,33,"BRA","Brazil",21,"Rio Grande do Sul",4210,"Santo Augusto",8209,"Pedro Paiva","Distrito","District",NA,NA
8210,33,"BRA","Brazil",21,"Rio Grande do Sul",4210,"Santo Augusto",8210,"Rincao dos Paivas","Distrito","District",NA,NA
8211,33,"BRA","Brazil",21,"Rio Grande do Sul",4210,"Santo Augusto",8211,"Santo Antônio","Distrito","District",NA,NA
8212,33,"BRA","Brazil",21,"Rio Grande do Sul",4210,"Santo Augusto",8212,"Santo Augusto","Distrito","District",NA,NA
8213,33,"BRA","Brazil",21,"Rio Grande do Sul",4211,"Santo Cristo",8213,"Santo Cristo","Distrito","District",NA,NA
8214,33,"BRA","Brazil",21,"Rio Grande do Sul",4211,"Santo Cristo",8214,"Sirio","Distrito","District",NA,NA
8215,33,"BRA","Brazil",21,"Rio Grande do Sul",4211,"Santo Cristo",8215,"Vila Bom Principio Baixo","Distrito","District",NA,NA
8216,33,"BRA","Brazil",21,"Rio Grande do Sul",4211,"Santo Cristo",8216,"Vila Laranjeira","Distrito","District",NA,NA
